Date,AAPL,NVDA,SPY,TSLA
2020-01-02,72.3338851928711,5.970754146575928,296.8880920410156,28.68400001525879
2020-01-03,71.63064575195312,5.875185966491699,294.6401062011719,29.534000396728516
2020-01-06,72.20140075683594,5.899824619293213,295.76422119140625,30.1026668548584
2020-01-07,71.86185455322266,5.97125244140625,294.9325256347656,31.270666122436523
2020-01-08,73.0178451538086,5.98245096206665,296.5044250488281,32.80933380126953
2020-01-09,74.56880950927734,6.048153877258301,298.5148620605469,32.089332580566406
2020-01-10,74.73737335205078,6.080508232116699,297.65582275390625,31.876667022705078
2020-01-13,76.33409881591797,6.271146774291992,299.70294189453125,34.990665435791016
2020-01-14,75.30332946777344,6.1541748046875,299.2460021972656,35.861331939697266
2020-01-15,74.98060607910156,6.111617088317871,299.9221496582031,34.56666564941406
2020-01-16,75.91986083984375,6.195239543914795,302.4170837402344,34.232666015625
2020-01-17,76.76034545898438,6.203949928283691,303.35833740234375,34.03333282470703
2020-01-21,76.24015045166016,6.170599937438965,302.7643127441406,36.47999954223633
2020-01-22,76.51231384277344,6.224606037139893,302.8009338378906,37.97066879272461
2020-01-23,76.88078308105469,6.293045520782471,303.1481628417969,38.14666748046875
2020-01-24,76.65919494628906,6.233814716339111,300.4522705078125,37.654666900634766
2020-01-27,74.40501403808594,5.977972507476807,295.6361999511719,37.201332092285156
2020-01-28,76.5098876953125,6.1713480949401855,298.7342224121094,37.793331146240234
2020-01-29,78.11145782470703,6.110870838165283,298.4874572753906,38.732666015625
2020-01-30,77.99822998046875,6.117590427398682,299.4561462402344,42.72066879272461
2020-01-31,74.53990173339844,5.884145736694336,294.0187072753906,43.371334075927734
2020-02-03,74.33517456054688,5.981205463409424,296.20281982421875,52.0
2020-02-04,76.78927612304688,6.1504411697387695,300.7173156738281,59.137332916259766
2020-02-05,77.41545867919922,6.240784168243408,304.1899719238281,48.97999954223633
2020-02-06,78.32096862792969,6.327640056610107,305.2134704589844,49.930667877197266
2020-02-07,77.25636291503906,6.261441230773926,303.5867919921875,49.871334075927734
2020-02-10,77.62328338623047,6.5446600914001465,305.8532409667969,51.41866683959961
2020-02-11,77.15497589111328,6.6671061515808105,306.3833312988281,51.62533187866211
2020-02-12,78.98723602294922,6.78283166885376,308.35723876953125,51.15266799926758
2020-02-13,78.42475891113281,6.739029884338379,308.0281982421875,53.599998474121094
2020-02-14,78.44407653808594,7.212141513824463,308.52178955078125,53.33533477783203
2020-02-18,77.00772094726562,7.38087797164917,307.7266845703125,57.22666549682617
2020-02-19,78.12299346923828,7.832088470458984,309.197998046875,61.16133117675781
2020-02-20,77.32151794433594,7.682764053344727,307.92767333984375,59.96066665649414
2020-02-21,75.57135772705078,7.31865930557251,304.756591796875,60.06666564941406
2020-02-24,71.9817123413086,6.801248550415039,294.6492614746094,55.58599853515625
2020-02-25,69.54351043701172,6.521763801574707,285.720703125,53.32733154296875
2020-02-26,70.64673614501953,6.661133766174316,284.66973876953125,51.91999816894531
2020-02-27,66.0286865234375,6.290337085723877,271.88470458984375,45.266666412353516
2020-02-28,65.99005126953125,6.725381851196289,270.7424011230469,44.53266525268555
2020-03-02,72.13378143310547,6.883758544921875,282.4673156738281,49.574668884277344
2020-03-03,69.8428726196289,6.621288776397705,274.379638671875,49.70066833496094
2020-03-04,73.08248901367188,7.084971904754639,285.9125671386719,49.96666717529297
2020-03-05,70.7119140625,6.805566787719727,276.4084167480469,48.30266571044922
2020-03-06,69.77286529541016,6.62502384185791,271.83905029296875,46.89866638183594
2020-03-09,64.2543716430664,6.112036228179932,250.60997009277344,40.53333282470703
2020-03-10,68.88206481933594,6.501509189605713,263.5777282714844,43.02199935913086
2020-03-11,66.4897689819336,6.137684345245361,250.7286834716797,42.28200149536133
2020-03-12,59.92359924316406,5.386630058288574,226.73968505859375,37.369998931884766
2020-03-13,67.10294342041016,5.997485160827637,246.12283325195312,36.44133377075195
2020-03-16,58.470340728759766,4.890822887420654,219.19110107421875,29.67133331298828
2020-03-17,61.04129409790039,5.410536289215088,231.02572631835938,28.68000030517578
2020-03-18,59.5470085144043,5.050696849822998,219.32823181152344,24.08133316040039
2020-03-19,59.09074783325195,5.303455352783203,219.79428100585938,28.50933265686035
2020-03-20,55.33933639526367,5.123661041259766,210.3224334716797,28.50200080871582
2020-03-23,54.1636962890625,5.296482563018799,204.9449005126953,28.952667236328125
2020-03-24,59.597694396972656,6.205169677734375,223.5135498046875,33.66666793823242
2020-03-25,59.269386291503906,6.116519927978516,226.85960388183594,35.95000076293945
