Date,ARB,AVAX,BTC,DOGE,ETH,INJ,LINK,MATIC,SOL
2020-01-01,0.0005869999877177179,,7200.17431640625,0.00203300011344254,130.802001953125,,1.8066400289535522,0.014961999841034412,
2020-01-02,0.0005869999877177179,,6985.47021484375,0.0020089999306946993,127.4101791381836,,1.7411439418792725,0.014650999568402767,
2020-01-03,0.0005869999877177179,,7344.88427734375,0.002145000034943223,134.1717071533203,,1.8097079992294312,0.015193999744951725,
2020-01-04,0.0005869999877177179,,7410.65673828125,0.0022410000674426556,135.06936645507812,,1.8401329517364502,0.014960999600589275,
2020-01-05,0.0005869999877177179,,7411.3173828125,0.0024190000258386135,136.2767791748047,,1.8077869415283203,0.014914000406861305,
2020-01-06,0.0005869999877177179,,7769.21923828125,0.0024629998952150345,144.3041534423828,,1.937466025352478,0.01558700017631054,
2020-01-07,0.0005869999877177179,,8163.6923828125,0.002432999899610877,143.5439910888672,,2.114098072052002,0.01510000042617321,
2020-01-08,0.0005869999877177179,,8079.86279296875,0.0022929999977350235,141.2581329345703,,2.183605909347534,0.01500600017607212,
2020-01-09,0.0005869999877177179,,7879.0712890625,0.0022559999488294125,138.9792022705078,,2.186048984527588,0.014698999933898449,
2020-01-10,0.0005869999877177179,,8166.55419921875,0.0023560000117868185,143.96377563476562,,2.223958969116211,0.014852999709546566,
2020-01-11,0.0005869999877177179,,8037.53759765625,0.0023139999248087406,142.92710876464844,,2.2832469940185547,0.014816000126302242,
2020-01-12,0.0005869999877177179,,8192.494140625,0.002380999969318509,145.87393188476562,,2.2451930046081543,0.015008999966084957,
2020-01-13,0.0005869999877177179,,8144.1943359375,0.0023580000270158052,144.22659301757812,,2.192452907562256,0.01553099974989891,
2020-01-14,0.0005869999877177179,,8827.7646484375,0.002469999948516488,165.95535278320312,,2.3899269104003906,0.015730999410152435,
2020-01-15,0.0005869999877177179,,8807.0107421875,0.0023690001107752323,166.23068237304688,,2.4049770832061768,0.016367999836802483,
2020-01-16,0.0005869999877177179,,8723.7861328125,0.0023449999280273914,164.39100646972656,,2.4844789505004883,0.01607700064778328,
2020-01-17,0.0005869999877177179,,8929.0380859375,0.0024900001008063555,170.7799530029297,,2.724108934402466,0.018818000331521034,
2020-01-18,0.0005869999877177179,,8942.80859375,0.002506999997422099,175.3656768798828,,2.7741050720214844,0.01751900091767311,
2020-01-19,0.0005869999877177179,,8706.2451171875,0.0024049999192357063,166.9698486328125,,2.6189510822296143,0.01639699935913086,
2020-01-20,0.0005869999877177179,,8657.642578125,0.0023739999160170555,167.12051391601562,,2.697299003601074,0.016899000853300095,
2020-01-21,0.0005869999877177179,,8745.89453125,0.0023759999312460423,169.69715881347656,,2.6735498905181885,0.01716100051999092,
2020-01-22,0.0005869999877177179,,8680.8759765625,0.002322999993339181,168.29415893554688,,2.6455819606781006,0.017086999490857124,
2020-01-23,0.0005869999877177179,,8406.515625,0.002268000040203333,162.92855834960938,,2.462109088897705,0.01594099961221218,
2020-01-24,0.0005869999877177179,,8445.4345703125,0.00227600010111928,163.05117797851562,,2.504390001296997,0.0162540003657341,
2020-01-25,0.0005869999877177179,,8367.84765625,0.002256999956443906,161.283935546875,,2.456526041030884,0.01606599986553192,
2020-01-26,0.0005869999877177179,,8596.830078125,0.002305000089108944,168.0771026611328,,2.571582078933716,0.016457000747323036,
2020-01-27,0.0005869999877177179,,8909.8193359375,0.002368000103160739,170.93089294433594,,2.609652042388916,0.016909999772906303,
2020-01-28,0.0005869999877177179,,9358.58984375,0.0024500000290572643,176.3703155517578,,2.655339002609253,0.017255999147892,
2020-01-29,0.0005869999877177179,,9316.6298828125,0.0023900000378489494,175.0503387451172,,2.7853240966796875,0.017109999433159828,
2020-01-30,0.0005869999877177179,,9508.9931640625,0.0024399999529123306,184.6904754638672,,2.9129879474639893,0.018644999712705612,
2020-01-31,0.0005869999877177179,,9350.529296875,0.002394000068306923,180.16017150878906,,2.823791027069092,0.017928000539541245,
2020-02-01,0.0005869999877177179,,9392.875,0.0024220000486820936,183.6739501953125,,2.8389530181884766,0.018331000581383705,
2020-02-02,0.0005869999877177179,,9344.365234375,0.0024679999332875013,188.61753845214844,,2.832581043243408,0.01911499910056591,
