Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,NVDA,TSLA,AAPL,NVDA,TSLA,AAPL,NVDA,TSLA,AAPL,NVDA,TSLA,AAPL,NVDA,TSLA
Date,,,,,,,,,,,,,,,
2020-01-02,72.33387756347656,5.970754623413086,28.68400001525879,72.39408555090253,5.970754623413086,28.713333129882812,71.0911838210517,5.891363982921088,28.11400032043457,71.34405442839761,5.941885342751538,28.299999237060547,135480400,237536000,142981500
2020-01-03,71.63063049316406,5.875185966491699,29.534000396728516,72.3892495107853,5.918988068029837,30.266666412353516,71.40665858931894,5.826157518294826,29.128000259399414,71.56319785492231,5.851045086775378,29.366666793823242,146322800,205384000,266677500
2020-01-06,72.20140838623047,5.8998260498046875,30.1026668548584,72.23994237629597,5.905052397993768,30.104000091552734,70.50354624985978,5.755727892768017,29.333332061767578,70.75401351048198,5.781859633713421,29.364667892456055,118387200,262636000,151995000
2020-01-07,71.86185455322266,5.97125244140625,31.270666122436523,72.46633779595872,6.017045403475826,31.441999435424805,71.6426965801033,5.883150748902034,30.224000930786133,72.21105649751387,5.928197022093987,30.760000228881836,108872000,314856000,268231500
2020-01-08,73.01782989501953,5.982451915740967,32.80933380126953,73.31886979288494,6.023765219861093,33.232666015625,71.56561372170107,5.926952946804154,31.215333938598633,71.56561372170107,5.967021611212417,31.579999923706055,132079200,277108000,467164500
2020-01-09,74.56880187988281,6.048153400421143,32.089332580566406,74.76146451044018,6.120576034406297,33.253334045410156,73.74275001069596,5.994396560138234,31.524667739868164,73.99320996049889,6.0688100475588,33.13999938964844,170108400,255112000,426606000
2020-01-10,74.73737335205078,6.080509185791016,31.876667022705078,75.30092656417412,6.1857833144054,32.3293342590332,74.23644614635045,6.06632351903336,31.579999923706055,74.8024026801614,6.155420652016834,32.11933135986328,140644800,316296000,194392500
2020-01-13,76.3340835571289,6.271146297454834,34.990665435791016,76.36057889021191,6.296282606868379,35.04199981689453,74.93485068528152,6.140984617283319,32.79999923706055,75.05286332420356,6.16363259678268,32.900001525878906,121532000,319840000,397764000
2020-01-14,75.3033447265625,6.1541748046875,35.861331939697266,76.48101668324267,6.253724606953968,36.49399948120117,75.18052540962947,6.140984093935381,34.99333190917969,76.27149402827726,6.22833908695966,36.284000396728516,161954400,359088000,434943000
2020-01-15,74.98059844970703,6.1116156578063965,34.56666564941406,75.98245997667709,6.1892646306227865,35.85599899291992,74.54950731619692,6.0857326668676,34.452667236328125,75.10342506334987,6.166865870206874,35.31733322143555,121923600,263104000,260532000
2020-01-16,75.91985321044922,6.195239067077637,34.232666015625,76.03064118697364,6.201212102853012,34.297332763671875,75.16123412136378,6.141730957829296,32.81133270263672,75.52248200660513,6.165125150161636,32.91666793823242,108829200,284192000,326050500
2020-01-17,76.76038360595703,6.203948020935059,34.03333282470703,76.76278692814752,6.221867123569306,34.37799835205078,75.86207762818306,6.156412959908515,33.54399871826172,76.16793161276121,6.214400712132339,33.840667724609375,137816400,253792000,204436500
2020-01-21,76.24017333984375,6.170599937438965,36.47999954223633,76.8302072165908,6.20419808146063,36.571998596191406,76.10289736234121,6.136503842710471,35.227333068847656,76.38948797518701,6.167364444571707,35.349998474121094,110843200,217916000,267052500
2020-01-22,76.51229858398438,6.224606513977051,37.97066879272461,77.06379835057774,6.311214823727861,39.633331298828125,76.41837061392836,6.196981400554024,37.27333450317383,76.72422448512405,6.215895935392397,38.125999450683594,101832400,239240000,470535000
2020-01-23,76.88080596923828,6.293046951293945,38.14666748046875,76.96027729950708,6.301508791795194,38.79999923706055,76.01862324900956,6.175827247965222,37.040000915527344,76.56531662094284,6.264675623846474,37.616668701171875,104472000,244516000,294765000
2020-01-24,76.65921783447266,6.233814716339111,37.654666900634766,77.86819158420508,6.458299843381298,38.25733184814453,76.46895853504518,6.179559919221518,36.95066833496094,77.1264324079885,6.408524704344975,38.04199981689453,146537600,373512000,215304000
2020-01-27,74.40502166748047,5.977971076965332,37.201332092285156,75.08416206919466,6.028990377187651,37.62933349609375,73.42483402812097,5.779617698609579,35.95199966430664,74.67234156024762,5.9291913682766975,36.132667541503906,161940000,470536000,204121500
2020-01-28,76.50991821289062,6.1713480949401855,37.793331146240234,76.68090687398296,6.203701607240368,38.45399856567383,75.18534222076916,5.99066457305883,37.2053337097168,75.28408422213496,6.043923950276957,37.89933395385742,162234000,310976000,176827500
2020-01-29,78.1114501953125,6.110870838165283,38.732666015625,78.95677286932231,6.192999486865854,39.31999969482422,77.39858953140283,6.071050441358389,37.82866668701172,78.13794553717628,6.156912534107337,38.37933349609375,216229200,258848000,267022500
2020-01-30,77.99822998046875,6.117588996887207,42.72066879272461,78.05121329496869,6.131028443682364,43.391998291015625,76.76517176985938,5.9580605988384985,41.20000076293945,77.19626294921763,6.013061601304397,42.16133117675781,126743200,290504000,435085500
2020-01-31,74.5398941040039,5.8841447830200195,43.371334075927734,77.71164655303768,6.083742315286906,43.53333282470703,74.24607885109228,5.842334013297709,42.167999267578125,77.29019066933044,6.071796245454576,42.66666793823242,199588400,370420000,235789500
2020-02-03,74.3351821899414,5.981207370758057,52.0,75.49839714349714,6.000619381873088,52.409332275390625,72.78422401879573,5.8597562708457405,44.90133285522461,73.2851511845041,5.865978044936921,44.91266632080078,173788400,255564000,705975000
2020-02-04,76.78927612304688,6.150442123413086,59.137332916259766,76.97953543976107,6.169605872146606,64.59933471679688,75.53213292898627,6.073042338363258,55.59199905395508,75.9367288800473,6.123066221076983,58.86399841308594,136616400,271544000,914082000
2020-02-05,77.41545104980469,6.240783214569092,48.97999954223633,78.21260439944355,6.281598562985633,56.39866638183594,76.81337103650588,6.157409927409583,46.94066619873047,77.91396771511286,6.27139460720877,54.88399887084961,118826800,208220000,726357000
2020-02-06,78.32098388671875,6.327641010284424,49.930667877197266,78.32339455893924,6.327641010284424,53.05533218383789,77.12886972563597,6.193995566539658,45.79999923706055,77.68519113739669,6.275128796942113,46.66133117675781,105425600,218284000,598212000
2020-02-07,77.25635528564453,6.261440277099609,49.871334075927734,78.06988383321008,6.309722042005786,51.31666564941406,76.76630651671353,6.236054755001405,48.66666793823242,77.82123854389138,6.287572013355755,48.70333480834961,117684000,189752000,255952500
2020-02-10,77.623291015625,6.5446600914001465,51.41866683959961,77.623291015625,6.545406305582232,54.66600036621094,75.7644885208781,6.279110375824013,50.15999984741211,75.8441484328751,6.284087985183651,53.33333206176758,109348800,529608000,370338000
2020-02-11,77.15496826171875,6.667105674743652,51.62533187866211,78.19059132825674,6.781837046465361,52.23400115966797,76.93770658748598,6.59095006078048,50.53333282470703,78.11817322586252,6.652920011237149,51.25266647338867,94323200,638556000,175462500
2020-02-12,78.98725128173828,6.78283166885376,51.15266799926758,78.99207670101356,6.789302654731991,52.650001525878906,77.60400616945556,6.681041807805307,50.891334533691406,77.60400616945556,6.719866299002094,51.858001708984375,113730400,374644000,180337500
2020-02-13,78.42473602294922,6.7390313148498535,53.599998474121094,78.75063214721084,6.806227621791376,54.53333282470703,78.05780543857192,6.6974692706660415,49.0,78.26058344838953,6.724845649351327,49.45600128173828,94747600,528016000,394339500
2020-02-14,78.44406127929688,7.2121429443359375,53.33533477783203,78.69270656111114,7.341060005043562,54.198001861572266,77.93711251400148,7.117819466081168,52.366668701171875,78.3933612458328,7.149177554571694,52.4813346862793,80113600,1041924000,235405500
2020-02-18,77.00772094726562,7.3808794021606445,57.22666549682617,77.18877358272158,7.399296462852883,57.33333206176758,75.94795598487916,7.089447146414117,55.490665435791016,76.12900862033511,7.108859159403147,56.106666564941406,152531200,620164000,245725500
2020-02-19,78.12299346923828,7.832089424133301,61.16133117675781,78.3523297233802,7.849759796148318,62.98533248901367,77.24911404532844,7.5033260411474485,60.06800079345703,77.24911404532844,7.5033260411474485,61.56666564941406,93984000,694332000,381345000
2020-02-20,77.32154846191406,7.682764530181885,59.96066665649414,78.37165530100644,7.872406892694111,60.79999923706055,76.81701596336808,7.375404030472952,57.3293342590332,77.8840228178166,7.784056461298665,60.79666519165039,100566000,810052000,264523500
2020-02-21,75.57135772705078,7.318660736083984,60.06666564941406,77.35774940247184,7.5956585896152315,60.87066650390625,74.95578178960817,7.23379453271584,58.6966667175293,76.91597690115918,7.5705222779789745,60.46533203125,129554000,768180000,214722000
2020-02-24,71.98170471191406,6.801249027252197,55.58599853515625,73.43012593023869,7.015032728613473,57.56666564941406,69.82114748147725,6.669843188096239,54.813331604003906,71.75961758398634,6.724346724805658,55.93333435058594,222195200,856916000,227883000
2020-02-25,69.54351806640625,6.521763801574707,53.32733154296875,73.03180163978591,6.938380143586625,57.106666564941406,69.07278565467855,6.419973914531026,52.46666717529297,72.65038734565039,6.876410184653906,56.599998474121094,230673600,1055496000,259357500
2020-02-26,70.646728515625,6.661133289337158,51.91999816894531,71.90927139616765,6.8552557873010365,54.22066879272461,69.16209855410392,6.520519381374337,51.740665435791016,69.16934036398257,6.522012284469121,52.16666793823242,198054800,747732000,211282500
2020-02-27,66.0286865234375,6.290336608886719,45.266666412353516,69.04140503149553,6.648930749588357,49.31800079345703,65.89350114490772,6.1979487749822635,44.599998474121094,67.85852928583456,6.347611926679557,48.66666793823242,320605600,906416000,364158000
2020-02-28,65.99005126953125,6.725381374359131,44.53266525268555,67.20914325476264,6.784898103552778,46.03466796875,61.88860853206062,6.021142747479022,40.768001556396484,62.10346116385855,6.037827190608867,41.97999954223633,426510000,1133252000,363343500
2020-03-02,72.1337890625,6.88375997543335,49.574668884277344,72.7686815326321,6.912646997105689,49.5793342590332,67.0425894386722,6.499516704618739,45.77799987792969,68.14338895911868,6.89546430619151,47.41733169555664,341397200,890744000,302925000
2020-03-03,69.84288024902344,6.621288776397705,49.70066833496094,73.3866827671886,6.999306519580371,53.798667907714844,68.99313499680584,6.535873577697565,47.740665435791016,73.30702283331924,6.939540911663828,53.66666793823242,319475600,652792000,386760000
2020-03-04,73.0824966430664,7.084972858428955,49.96666717529297,73.24182384454771,7.094435784981819,51.10133361816406,70.76261243598904,6.653912638955671,48.31533432006836,71.56165746891385,6.728620028842755,50.930667877197266,219178400,597408000,225735000
2020-03-05,70.71192169189453,6.805566787719727,48.30266571044922,72.31242082695749,7.052349007113652,49.71666717529297,70.34740002247567,6.7609913459099165,47.871334075927734,71.33956494467967,6.885503158817926,48.2513313293457,187572800,540328000,162790500
2020-03-06,69.77287292480469,6.625024795532227,46.89866638183594,70.20498737405435,6.683545501636067,47.133331298828125,67.889928042293,6.424809580590504,45.61800003051758,68.07580613740882,6.626020817874118,46.0,226176800,515412000,189943500
2020-03-09,64.2543716430664,6.112036228179932,40.53333282470703,67.13189718407227,6.459673198416253,44.20000076293945,63.489119320777824,5.931245111708743,40.33333206176758,63.670171942415024,5.9740769221666445,40.35933303833008,286744800,614160000,256105500
2020-03-10,68.88207244873047,6.50150728225708,43.02199935913086,69.14761776690831,6.50150728225708,44.53333282470703,65.02685833500999,6.125730998271825,40.53333282470703,66.9025682079639,6.388450464272933,43.96200180053711,285290000,580648000,233916000
2020-03-11,66.48976135253906,6.137685298919678,42.28200149536133,67.88748961967876,6.389946359754205,43.571998596191406,65.627949126833,6.040566234422032,40.866668701171875,66.96291749628936,6.361557585907616,42.68000030517578,255598800,499964000,199837500
2020-03-12,59.92359161376953,5.386630535125732,37.369998931884766,65.17894700154001,5.879946119674955,39.633331298828125,59.86806983845157,5.3739301811778155,36.41666793823242,61.784814276675704,5.614486920815418,38.72600173950195,418474000,816540000,283636500
2020-03-13,67.10293579101562,5.99748420715332,36.44133377075195,67.57367559511492,6.001966544495136,40.50466537475586,61.06301877546382,5.468807313151768,33.46666717529297,63.94538103600016,5.739993709567148,39.66666793823242,370732000,634836000,339604500
2020-03-16,58.47034454345703,4.8908233642578125,29.67133331298828,62.5428168089279,5.630423762094132,32.9913330078125,57.93684117686896,4.8310577571051,29.47800064086914,58.40757727472599,5.289510107058595,31.299999237060547,322423600,726972000,307342500
2020-03-17,61.041290283203125,5.41053581237793,28.68000030517578,62.1879532458274,5.4999355774252425,31.456666946411133,57.55059398806874,4.756351060498618,26.399999618530273,59.74978006097213,5.003133264971401,29.333999633789062,324056000,833632000,359919000
2020-03-18,59.547000885009766,5.050696849822998,24.08133316040039,60.35087498179023,5.2280016368582345,26.99066734313965,57.24159672400037,4.499358867162587,23.367332458496094,57.881318208922394,4.982962586228591,25.933332443237305,300233600,874268000,356793000
2020-03-19,59.09074401855469,5.303455352783203,28.50933265686035,61.03645549375763,5.3970880811724395,30.133333206176758,58.56689890473273,4.815867142222051,23.8973331451416,59.72080725380135,5.029279960655798,24.979999542236328,271857200,765512000,452932500
2020-03-20,55.3393440246582,5.123661041259766,28.50200080871582,60.79264863512061,5.735511767463592,31.799999237060547,55.04000233501268,5.108221508815818,28.38599967956543,59.67012006159394,5.453617044388222,29.213333129882812,401693200,804636000,424282500
2020-03-23,54.16370391845703,5.296483516693115,28.952667236328125,55.16070158535809,5.390863877993336,29.46666717529297,51.32479999006741,4.943617068293397,27.366666793823242,55.05931255400759,5.122665029285088,28.906667709350586,336752800,643876000,246817500
2020-03-24,59.59770584106445,6.205171585083008,33.66666793823242,59.793242114858536,6.291832190242781,34.24599838256836,56.56084893172045,5.67898483228585,31.600000381469727,57.05813962396852,5.702641909786317,31.81999969482422,287531200,1101644000,343428000
2020-03-25,59.26938247680664,6.116517543792725,35.95000076293945,62.3424476958278,6.519935497420141,37.133331298828125,58.97486994131572,6.067708657505267,34.07400131225586,60.53192162528101,6.320218564952922,36.349998474121094,303602000,793432000,318340500
2020-03-26,62.38832092285156,6.405883312225342,35.21066665649414,62.446255405203736,6.529896863520589,37.33333206176758,59.472166210481355,6.225589994205439,34.150001525878906,59.51079165439952,6.323705068326,36.49266815185547,252087200,696108000,260710500
2020-03-27,59.80530548095703,6.29357385635376,34.29066848754883,61.767913466106,6.5523092762191855,35.0533332824707,59.638736473627105,6.19271912359753,32.935333251953125,61.01473571142301,6.225590232425137,33.66666793823242,204216800,638828000,215661000
2020-03-30,61.512027740478516,6.613818168640137,33.47533416748047,61.68342585318123,6.623032205750341,34.44333267211914,60.206033868463194,6.314989641822439,32.7486686706543,60.529517371062305,6.35906683290393,34.017333984375,167976400,602252000,179971500
