Date,AAPL,ABBV,AFRM,AMD,AMT,AMZN,AVGO,BAC,BNTX,C,COIN,COST,CVX,DDOG,GOOGL,GS,HD,HOOD,INTC,JNJ,JPM,MARA,META,MRNA,MRO,MS,MSFT,MSTR,MU,NET,NVDA,O,OXY,PFE,PLD,PLTR,PYPL,QCOM,QQQ,RIOT,SMCI,SNOW,SOFI,SPG,SPY,SQ,TGT,TSLA,UPST,WFC,WMT,XOM,ZS
2020-01-02,72.33387756347656,68.69625854492188,,49.099998474121094,191.72256469726562,94.90049743652344,27.677492141723633,30.587560653686523,37.996726989746094,64.66643524169922,,265.748291015625,91.18257141113281,36.70000076293945,67.87303161621094,202.11892700195312,188.7276153564453,,53.666465759277344,122.63822174072266,118.43034362792969,1.0499999523162842,208.14657592773438,19.229999542236328,,42.6046028137207,152.15843200683594,14.430999755859375,54.02116394042969,17.030000686645508,5.970752716064453,51.24153518676758,38.678993225097656,27.048368453979492,74.28076171875,,110.1610336303711,77.15103149414062,208.3175506591797,1.2200000286102295,2.36299991607666,,,102.58995819091797,296.88818359375,,105.4749755859375,28.68400001525879,,45.56665802001953,36.28996276855469,52.94704055786133,47.33000183105469
2020-01-03,71.63064575195312,68.04415893554688,,48.599998474121094,191.8148193359375,93.74849700927734,26.97351837158203,29.95246124267578,39.526466369628906,63.44839859008789,,265.9671325683594,90.86720275878906,37.41999816894531,67.5179672241211,199.75546264648438,188.1004638671875,,53.01371765136719,121.21833801269531,116.86744689941406,0.9599999785423279,207.0452117919922,18.889999389648438,,41.916908264160156,150.26376342773438,14.357000350952148,53.18239974975586,17.170000076293945,5.875186920166016,52.16767883300781,39.614627838134766,26.903242111206055,75.11265563964844,,108.1816177368164,75.69831085205078,206.40933227539062,1.1799999475479126,2.3440001010894775,,,102.77376556396484,294.6401062011719,,104.37898254394531,29.534000396728516,,45.286903381347656,35.96958541870117,52.521358489990234,47.380001068115234
2020-01-06,72.20142364501953,68.58118438720703,,48.38999938964844,191.7644500732422,95.14399719238281,26.93316650390625,29.909549713134766,43.997249603271484,63.249366760253906,,266.04010009765625,90.559326171875,39.900001525878906,69.31759643554688,201.7997589111328,188.9853973388672,,52.86376190185547,121.06710052490234,116.77455139160156,0.9700000286102295,210.94464111328125,18.1299991607666,,41.76954650878906,150.65213012695312,14.425000190734863,52.246131896972656,17.690000534057617,5.899825572967529,52.42927169799805,40.922698974609375,26.868684768676758,74.81855773925781,,109.58411407470703,75.25467681884766,207.73928833007812,1.2999999523162842,2.3269999027252197,,,103.31114196777344,295.7641296386719,,103.39175415039062,30.1026668548584,,45.0156135559082,35.8963623046875,52.92464065551758,48.70000076293945
2020-01-07,71.8618392944336,68.18994140625,,48.25,187.6782989501953,95.34300231933594,26.84044075012207,29.71215057373047,42.773460388183594,62.700103759765625,,265.62066650390625,89.40292358398438,40.060001373291016,69.18370056152344,203.12811279296875,187.74818420410156,,51.9816780090332,121.80646514892578,114.78929901123047,1.090000033378601,211.40103149414062,17.780000686645508,,41.68766403198242,149.278564453125,14.38700008392334,56.829986572265625,17.670000076293945,5.971251487731934,52.44338607788086,41.122535705566406,26.77884292602539,74.339599609375,,109.0867691040039,77.39462280273438,207.7103729248047,1.4900000095367432,2.309999942779541,,,102.1374282836914,294.9325866699219,,103.57581329345703,31.270666122436523,,44.64260482788086,35.56378936767578,52.49148178100586,48.400001525878906
2020-01-08,73.01782989501953,68.67324829101562,,47.83000183105469,189.30606079101562,94.59850311279297,26.505630493164062,30.012537002563477,44.51045227050781,63.177738189697266,,268.665771484375,88.38168334960938,39.95000076293945,69.6761245727539,205.08616638183594,190.5576629638672,,52.016963958740234,121.7896728515625,115.68477630615234,0.949999988079071,213.54421997070312,17.979999542236328,,42.21982955932617,151.65631103515625,14.371000289916992,56.0985221862793,17.780000686645508,5.982451915740967,52.683780670166016,40.85911178588867,26.99307632446289,74.74290466308594,,111.225341796875,77.1684341430664,209.27162170410156,1.3700000047683716,2.306999921798706,,,102.80914306640625,296.5043640136719,,103.24115753173828,32.80933380126953,,44.77825164794922,35.44174575805664,51.69989013671875,50.75
2020-01-09,74.56879425048828,69.20255279541016,,48.970001220703125,190.01922607421875,95.05249786376953,26.29271697998047,30.064027786254883,42.704376220703125,63.750911712646484,,272.9780578613281,88.23902130126953,40.209999084472656,70.4075698852539,209.2610321044922,193.47891235351562,,52.308048248291016,122.15092468261719,116.10714721679688,0.9300000071525574,216.60023498535156,18.399999618530273,,42.6209831237793,153.55093383789062,14.350000381469727,55.893699645996094,17.020000457763672,6.048154354095459,51.78590774536133,41.21337127685547,26.875600814819336,74.7513427734375,,111.97135925292969,78.21229553222656,211.04490661621094,1.3300000429153442,2.319999933242798,,,101.98182678222656,298.51495361328125,,103.32482147216797,32.089332580566406,,44.70194625854492,35.80787658691406,52.0956916809082,54.0
2020-01-10,74.73735809326172,68.32034301757812,,48.16999816894531,193.65234375,94.15799713134766,25.688329696655273,29.81514549255371,39.16130447387695,63.09016036987305,,270.99053955078125,87.435546875,40.15999984741211,70.8623275756836,208.83834838867188,192.6455078125,,51.99048614501953,121.8736801147461,114.94981384277344,0.9300000071525574,216.36209106445312,19.139999389648438,,42.7437858581543,152.84048461914062,14.23900032043457,55.269527435302734,17.479999542236328,6.080507755279541,52.13232421875,41.69481658935547,27.29023551940918,75.1546630859375,,112.32943725585938,78.51677703857422,210.50518798828125,1.409999966621399,2.6089999675750732,,,102.37781524658203,297.6558532714844,,104.35389709472656,31.876667022705078,,44.50696563720703,35.50886535644531,51.632694244384766,55.0
2020-01-13,76.33409118652344,67.9061050415039,,48.75,197.5203857421875,94.56500244140625,25.856597900390625,30.089778900146484,37.335487365722656,64.2047119140625,,273.3882751464844,87.60076904296875,40.939998626708984,71.41129302978516,211.51239013671875,191.88946533203125,,52.563846588134766,122.41139221191406,115.90441131591797,0.9100000262260437,220.18212890625,20.260000228881836,,43.21044158935547,154.6782989501953,14.458999633789062,56.03024673461914,18.360000610351562,6.27114725112915,52.9948616027832,42.30343246459961,27.234954833984375,77.1377182006836,,114.66693878173828,79.13439178466797,212.9337615966797,1.3600000143051147,2.8510000705718994,,,102.73136138916016,299.70294189453125,,103.6343765258789,34.990665435791016,,44.17634582519531,35.35631561279297,52.125572204589844,59.619998931884766
2020-01-14,75.30333709716797,68.57474517822266,,48.209999084472656,196.29534912109375,93.47200012207031,26.457550048828125,30.31292152404785,34.07862091064453,65.2077865600586,,273.27886962890625,87.33041381835938,39.27000045776367,70.94316101074219,211.90054321289062,191.4340362548828,,52.42271423339844,123.10027313232422,117.25606536865234,0.9900000095367432,217.35430908203125,20.0,,43.27593994140625,153.58888244628906,14.47700023651123,56.0985221862793,18.700000762939453,6.154174327850342,52.9948616027832,42.91204833984375,27.69105339050293,76.15460205078125,,114.03034210205078,78.77772521972656,212.09530639648438,1.4199999570846558,2.7720000743865967,,,104.03240966796875,299.24603271484375,,104.79729461669922,35.861331939697266,,41.79416275024414,35.44784927368164,51.67750549316406,59.540000915527344
2020-01-15,74.98060607910156,69.39888763427734,,48.54999923706055,197.49517822265625,93.10099792480469,26.02486228942871,29.755069732666016,34.09836196899414,64.67440032958984,,274.2544250488281,87.20277404785156,40.22999954223633,71.37012481689453,211.51239013671875,192.96340942382812,,51.99048614501953,123.511962890625,115.4989013671875,0.9900000095367432,219.4280242919922,20.239999771118164,,43.3414306640625,154.58351135253906,14.626999855041504,54.78187561035156,18.850000381469727,6.111617088317871,53.71596145629883,42.93021774291992,28.105695724487305,77.48225402832031,,114.23922729492188,78.00350952148438,212.1820831298828,1.399999976158142,2.7699999809265137,,,104.01117706298828,299.9222106933594,,97.88667297363281,34.56666564941406,,40.963356018066406,35.173255920410156,51.59535598754883,59.9900016784668
